Date,Open,High,Low,Close,Adj Close,Volume
6/1/1972,2.149165,2.173495,2.149165,2.15322,0.002804,1089200
6/2/1972,2.15322,2.173495,2.141055,2.149165,0.002799,1173500
6/5/1972,2.149165,2.16944,2.141055,2.149165,0.002799,5208100
6/6/1972,2.149165,2.157275,2.116725,2.124835,0.002767,1421400
6/7/1972,2.124835,2.137,2.112669,2.112669,0.002751,671800
6/8/1972,2.112669,2.12889,2.096449,2.096449,0.00273,1036600
6/9/1972,2.096449,2.100504,2.043734,2.084284,0.002714,6589200
6/12/1972,2.084284,2.108614,2.068064,2.084284,0.002714,1430100
6/13/1972,2.084284,2.104559,2.084284,2.100504,0.002735,931400
6/14/1972,2.108614,2.15322,2.108614,2.132945,0.002778,2939300
6/15/1972,2.132945,2.15322,2.12078,2.124835,0.002767,1460700
6/16/1972,2.124835,2.132945,2.100504,2.132945,0.002778,750400
6/19/1972,2.132945,2.14511,2.112669,2.12078,0.002762,529300
6/20/1972,2.12078,2.141055,2.12078,2.12889,0.002772,894100
6/21/1972,2.12889,2.132945,2.108614,2.108614,0.002746,1608800
6/22/1972,2.104559,2.104559,2.076174,2.096449,0.00273,1282200
6/23/1972,2.092394,2.092394,2.072119,2.092394,0.002725,1273300
6/26/1972,2.092394,2.092394,2.076174,2.084284,0.002714,621300
6/27/1972,2.084284,2.100504,2.084284,2.100504,0.002735,877700
6/28/1972,2.100504,2.112669,2.092394,2.096449,0.00273,904100
6/29/1972,2.096449,2.104559,2.088339,2.088339,0.00272,448000
6/30/1972,2.076174,2.076174,2.051844,2.072119,0.002698,825100
7/3/1972,2.072119,2.072119,2.051844,2.064009,0.002688,438200
7/5/1972,2.064009,2.068064,2.031569,2.051844,0.002672,1395000
7/6/1972,2.059954,2.096449,2.059954,2.076174,0.002704,1173500
7/7/1972,2.076174,2.088339,2.051844,2.068064,0.002693,1351100
7/10/1972,2.068064,2.072119,2.043734,2.043734,0.002661,523700
7/11/1972,2.043734,2.059954,2.031569,2.031569,0.002646,546600
7/12/1972,2.031569,2.059954,2.015349,2.015349,0.002624,1801800
7/13/1972,2.015349,2.019404,1.991019,2.015349,0.002624,680300
7/14/1972,2.015349,2.027514,2.007239,2.011294,0.002619,941200
7/17/1972,2.011294,2.027514,2.003184,2.011294,0.002619,583000
7/18/1972,2.011294,2.035624,1.978854,2.031569,0.002646,1338000
7/19/1972,2.031569,2.076174,2.027514,2.043734,0.002661,1707400
7/20/1972,2.043734,2.051844,2.015349,2.015349,0.002624,492900
7/21/1972,2.015349,2.051844,2.015349,2.043734,0.002661,602500
7/24/1972,2.059954,2.112669,2.059954,2.100504,0.002735,1456400
7/25/1972,2.100504,2.104559,2.084284,2.092394,0.002754,1552900
7/26/1972,2.092394,2.092394,2.080229,2.084284,0.002743,430500
7/27/1972,2.084284,2.088339,2.076174,2.076174,0.002732,1109000
7/28/1972,2.084284,2.112669,2.084284,2.096449,0.002759,1814900
7/31/1972,2.096449,2.112669,2.088339,2.096449,0.002759,1259200
8/1/1972,2.096449,2.100504,2.076174,2.096449,0.002759,1424700
8/2/1972,2.096449,2.124835,2.096449,2.124835,0.002796,2140400
8/3/1972,2.137,2.181605,2.137,2.16133,0.002844,4331200
8/4/1972,2.16133,2.16944,2.16133,2.16944,0.002855,1188000
8/7/1972,2.16944,2.181605,2.16944,2.173495,0.00286,1929800
8/8/1972,2.173495,2.173495,2.157275,2.165385,0.00285,948000
8/9/1972,2.165385,2.16944,2.12078,2.132945,0.002807,2822000
8/10/1972,2.132945,2.137,2.12078,2.137,0.002812,1203200
8/11/1972,2.141055,2.157275,2.141055,2.15322,0.002834,1283300
8/14/1972,2.16133,2.17755,2.16133,2.165385,0.00285,1888200
8/15/1972,2.165385,2.16944,2.132945,2.149165,0.002828,1125400
8/16/1972,2.141055,2.141055,2.092394,2.092394,0.002754,1138700
8/17/1972,2.092394,2.12889,2.092394,2.12889,0.002802,2131700
8/18/1972,2.12889,2.137,2.124835,2.12889,0.002802,973000
8/21/1972,2.12889,2.137,2.112669,2.137,0.002812,1006000
8/22/1972,2.15322,2.17755,2.15322,2.16944,0.002855,1703000
8/23/1972,2.173495,2.258651,2.173495,2.254596,0.002967,3170600
8/24/1972,2.254596,2.254596,2.2181,2.222155,0.002924,2447200
8/25/1972,2.222155,2.22621,2.19377,2.19377,0.002887,1584700
