Date,Open,High,Low,Close,Adj Close,Volume
1/2/1962,7.713333,7.713333,7.626667,7.626667,0.618153,387200
1/3/1962,7.626667,7.693333,7.626667,7.693333,0.623556,288000
1/4/1962,7.693333,7.693333,7.613333,7.616667,0.617343,256000
1/5/1962,7.606667,7.606667,7.453333,7.466667,0.605185,363200
1/8/1962,7.46,7.46,7.266667,7.326667,0.593837,544000
1/9/1962,7.36,7.506667,7.36,7.413333,0.600862,491200
1/10/1962,7.426667,7.46,7.426667,7.426667,0.601942,299200
1/11/1962,7.446667,7.506667,7.446667,7.506667,0.608427,315200
1/12/1962,7.52,7.573333,7.52,7.52,0.609508,435200
1/15/1962,7.546667,7.57,7.546667,7.553333,0.612209,251200
1/16/1962,7.546667,7.546667,7.473333,7.473333,0.605725,251200
1/17/1962,7.44,7.44,7.333333,7.353333,0.595998,419200
1/18/1962,7.373333,7.446667,7.373333,7.373333,0.59762,371200
1/19/1962,7.373333,7.393333,7.293334,7.38,0.59816,400000
1/22/1962,7.38,7.453333,7.36,7.366667,0.59708,275200
1/23/1962,7.363333,7.373333,7.28,7.293334,0.591136,371200
1/24/1962,7.293334,7.333333,7.256667,7.333333,0.594378,408000
1/25/1962,7.333333,7.393333,7.24,7.253334,0.587894,315200
1/26/1962,7.253334,7.28,7.213333,7.216667,0.584921,243200
1/29/1962,7.216667,7.266667,7.093333,7.093333,0.574926,579200
1/30/1962,7.093333,7.133333,7.003334,7.003334,0.56763,736000
1/31/1962,7.073333,7.226666,7.073333,7.226666,0.585733,760000
2/1/1962,7.3,7.413333,7.3,7.393333,0.599241,640000
2/2/1962,7.393333,7.44,7.36,7.44,0.603023,507200
2/5/1962,7.44,7.44,7.306667,7.346667,0.595459,312000
2/6/1962,7.346667,7.36,7.32,7.353333,0.59608,256000
2/7/1962,7.36,7.4,7.36,7.36,0.59662,251200
2/8/1962,7.36,7.4,7.36,7.366667,0.59716,16000
2/9/1962,7.366667,7.42,7.333333,7.42,0.601484,432000
2/12/1962,7.42,7.48,7.413333,7.426667,0.602024,280000
2/13/1962,7.426667,7.433333,7.306667,7.306667,0.592297,256000
2/14/1962,7.306667,7.333333,7.28,7.293334,0.591216,208000
2/15/1962,7.293334,7.293334,7.26,7.266667,0.589054,227200
2/16/1962,7.266667,7.293334,7.26,7.26,0.588514,219200
2/19/1962,7.26,7.293334,7.173333,7.186666,0.582569,280000
2/20/1962,7.19,7.226666,7.19,7.19,0.58284,288000
2/21/1962,7.19,7.24,7.136667,7.136667,0.578517,363200
2/23/1962,7.146667,7.173333,7.146667,7.16,0.580408,288000
